"subject_id","value.fit_glaze_osc_zeta_v4","value.fit_glaze_osc_zeta_v4_one_amp","value.fit_glaze_osc_zeta_v4_LLR_amp","value.fit_glaze_osc_zeta_v4_Prior_amp","value.fit_glaze_osc_zeta_v4_no_amp","value.fit_glaze_osc_zeta_v4_no_integration"
5797,NA,114.963724574362,115.530749798349,113.816580962421,116.008092367854,117.537892866179
5798,129.643340670141,129.643185193182,121.830972077904,140.782840334537,130.720960874979,130.72225333798
5799,115.401583072679,115.447185427114,117.893531558502,NA,119.51402897119,119.709905805275
5800,NA,117.038787118397,121.842412286058,121.94909001066,123.192283707242,123.757047670345
5801,NA,112.20583114734,113.125292235574,112.500430296209,114.080178067394,114.087284080755
5802,116.859114474825,119.175816089891,116.058316997653,119.120539106836,137.062324771089,117.537892866179
5803,119.215921494198,124.588793260905,117.368565170304,126.215727721552,118.635392488557,118.636518592727
5804,117.825975954733,118.578705469226,119.416923868757,117.415006815257,135.041092827936,119.709905805275
5805,125.418936630943,126.58464722497,122.860409278312,124.66409182498,124.664109239709,124.708616901182
5806,116.351700708915,116.427983658539,116.179306265162,119.121943226515,NA,120.758363140404
5807,124.647589890395,125.357915398744,126.099422422968,124.630866365033,126.993053427559,127.422833060786
5808,NA,124.661979764352,123.361130199218,124.554308152159,125.497253221717,125.636613602908
5809,118.467044183037,118.610580841987,117.84638644189,119.07842131469,120.022990404728,121.782185997801
5810,118.009795603132,119.117072438807,129.670909860929,117.9002192018,NA,118.636518592727
5811,125.786107329951,128.061855042452,127.553655676209,130.835530974637,128.113723342782,124.708616901182
5812,122.050379738398,122.174067701006,121.690951327393,122.40806547965,122.408315381821,122.781657211057
5813,123.508013773165,123.640491825972,123.508102575698,124.233547008168,124.233577603948,124.708616901182
5814,123.798024741895,123.797830977607,123.806718241935,124.05191299498,124.556783134562,124.708616901182
5815,120.001598610923,121.638515452025,121.570102830204,121.646448199803,122.460567048279,122.781657211057
5816,122.633766804273,122.635175639511,122.623388376517,123.661543055666,123.757034136735,123.757047670345
5817,NA,NA,123.317321099148,122.103041922156,125.915771452911,126.541276150226
5818,120.099647563138,120.037317790832,120.427943792593,120.12991374615,143.23084662917,120.758363140404
5819,124.343958885008,124.360904531394,123.881252761305,NA,124.70601690558,125.636613602908
5820,121.838827772404,123.35603187131,123.598652761895,NA,123.622705313259,123.757047670345
