"subject_id","sum_value.fit_glaze_osc_zeta_v4_mouse","sum_value.fit_glaze_osc_zeta_v4_one_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_LLR_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_Prior_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_no_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_no_integration_mouse"
135,4080.3385189032,4069.57237452345,4059.87842392748,4089.92298276503,4092.93924079265,4112.51002587759
136,1368.32308334074,1364.76165186394,1375.94270388808,1375.02304678532,1381.50835143245,1385.55725238831
137,1356.71452362006,1370.38261079458,1395.17941376449,1387.12083798051,1439.0994434754,1379.34154218092
138,4560.47713916271,4566.16003685652,4695.22385338369,4595.58067585233,4604.19094122753,4628.87567799373
139,2066.3467478809,2071.05350136712,2071.53824676159,2081.39610199074,2084.28684167467,2088.41375780594
140,176.135710317102,170.016889723909,170.038134630071,180.967374168306,181.618169721537,181.79671313242
142,7831.95916891749,7852.39643402035,7832.5606348683,7847.05253994692,7867.28974429665,7886.35943205617
143,9784.55186431748,9782.56320392561,9825.39466509301,9926.06785906388,10210.6169969991,10007.0723786218
144,3620.92112516496,3639.31827988128,3634.94528819095,3676.34651720446,3705.10962176901,3703.33092625859
145,708.904093042577,691.253307115572,699.461879769137,715.881044287099,721.612583687629,724.961967376827
146,12553.4638435463,12532.0476734186,12581.5971428578,12658.2220344569,12623.7103717293,12645.6081584462
147,4910.80718121224,4906.51164909775,4874.69760155668,4929.07711888608,4932.13951281518,4947.11157501906
148,1982.3881161063,1972.46987061166,1982.91063936935,2010.3230273771,2015.93757970541,2027.68499104
149,10076.970678532,10119.721225674,10304.4598004438,10208.8567742315,10224.6554537022,10144.6575350198
150,1588.204277059,1590.34623529219,1637.37572206689,1639.99766286212,1685.09652569569,1658.04632478186
151,9768.6116550725,9756.76756104778,9973.44081929784,9814.97933650892,9953.70201325462,9909.9566185522
152,2354.03079658605,2350.02445485234,2359.85351135415,2377.28051848319,2386.75036432067,2389.54528141376
154,1179.1346523036,1169.32205631639,1184.05801806365,1188.50319558795,1190.25517334624,1191.11351935218
155,4948.95641837384,4962.42838402992,5007.15924561648,4986.43240160031,4997.71791939954,5003.93469647359
156,1626.66526960422,1631.28310790621,1633.31378215166,1639.12447007595,1642.57094803518,1645.51876246652
157,1131.61300074078,1134.7740690612,1136.01583950743,1139.35263729897,1145.73238087551,1151.50886604558
158,2813.85109251172,2817.30970427187,2926.88963003175,2836.89444313743,2952.57645157655,2854.0865775881
159,304.4226063941,304.157265564644,304.994379483788,304.931267394547,304.994292993306,305.991309383129
160,1069.88361338165,1071.35543529162,1061.48437085504,1106.00140660667,1111.36780992264,1114.67618147389
161,9581.24514368147,9565.22465572987,9573.72314341814,9598.03851396803,9619.26889817581,9651.05770672966
162,3216.25819885217,3210.31343860504,3230.55438848501,3243.58244315875,3241.49039592796,3257.91859844951
163,2412.79783860545,2432.60317637435,2420.28618853692,2438.02553837952,2443.65201950092,2450.78661572973
164,4391.36078387463,4415.00992254611,4397.27557540448,4436.98375143491,4445.51474734151,4468.28812668991
165,1145.42743781882,1149.10284875518,1145.8112366621,1147.79656363556,1149.37529455305,1150.09225089477
166,2887.10879727656,2886.49865175646,2961.32628689656,2904.14740413286,3000.37696487172,2916.42253003617
167,4034.6684867775,4071.75922973935,4054.72660461852,4064.24014371382,4133.0505360711,4092.64510145992
168,1724.73104906476,1735.91556047318,1725.49934492167,1742.67913539072,1748.26867697236,1748.74371636333
170,1197.1705072932,1197.5155211975,1187.74603662143,1228.83531499729,1236.51483228444,1243.0884964712
171,4292.67174598132,4270.19599837703,4284.26057815903,4279.3081702953,4292.94156332063,4300.63711755724
173,2629.50695379981,2623.76693534162,2655.21013889264,2673.4337059633,2800.25243642513,2718.85379676335
176,12755.4814183066,12820.3503944832,12945.9444316963,12913.8084656381,12955.1815665486,12982.0353468978
177,11326.1066000974,11295.5701280191,11703.6270930758,11350.8328664209,11896.8648974989,11405.1556735122
178,3001.31788574441,3000.57185698366,2982.70648069806,3026.51298614221,3044.04610637866,3051.49613329227
179,8984.38199229748,9138.10382648315,9098.16575577341,9155.7866480492,9170.15164482858,9129.36641869413
180,7860.18048989654,7858.0629559159,7876.75626750862,7920.86842280339,7937.24890038486,7953.21229734312
181,6448.97071518544,6529.91886650406,6540.60162779532,6496.88408071668,6594.20534200703,6547.57391576362
183,11451.6152414748,11468.9621375377,11680.578414762,11520.031806359,11543.1777758454,11579.9329818932
185,6735.42143548825,6811.84306174601,6820.37196091617,6746.98370689413,6756.88611182398,6766.64266978132
186,2725.71393754209,2777.82055880709,2726.09975005203,2742.93223583306,2748.21849317371,2758.58928660555
187,1902.58641842648,1910.86216590503,1901.40123143362,1924.06981723851,2039.37378753899,1942.15275825664
188,1302.25578853984,1308.8885292976,1302.56626665455,1308.72482781375,1309.60622244732,1312.27969151006
189,2609.98104050853,2568.75711042416,2572.49455306493,2609.75568036398,2613.17638441869,2617.73583889508
190,1736.67074727054,1736.28193987403,1751.07256239832,1772.00834882099,1784.77728970007,1794.31392784294
192,3767.3041490514,3790.93039462274,3783.63255887213,3811.56502265206,3825.53493470923,3839.87251746062
193,3572.03823880674,3578.37966442241,3802.52707031905,3614.84666025693,4261.91320764101,3571.4172267953
194,3355.59862927197,3357.51605314121,3365.62627935156,3384.39795586045,3408.07616880757,3404.63456472902
196,9789.3321222814,9804.15444353665,10032.1529751934,9997.07317309987,10288.8604899115,10104.341520134
197,915.85090915395,916.015866559208,917.314275931223,923.23731195926,924.053013577011,928.58508785932
198,3143.68033508777,3150.35294717309,3171.0733862958,3166.83159738839,3261.24949733161,3178.24775637202
