"","p1","p2","p3","p4","p5","p6","p7","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
"L-BFGS-B1794",0.551985390760458,5.22400081533605,0.288718923324397,0.394924576585318,0.0294288939720093,0.644892651304293,1.001,228.992458508774,89,89,NA,0,FALSE,FALSE,27.320000000007,173,51,457,7,"fit_glaze_osc_zeta_v4_mouse",471.984917017548,472.234360224675
"L-BFGS-B1795",0.4607122909341,13.0422656269676,1.01053103131831,0.869707093620536,0.0972790684211744,3.15044876923071,0.999,342.542701720587,53,53,NA,0,FALSE,FALSE,29.3099999999977,173,52,799,7,"fit_glaze_osc_zeta_v4_mouse",699.085403441175,699.226996361529
"L-BFGS-B1796",0.432211502932496,1.92397289067197,1.42633553746844,0.29850384788004,0.0950340334182365,1.42029485138258,1.001,321.190982914684,125,125,NA,1,FALSE,FALSE,52.6100000000151,176,14,619,7,"fit_glaze_osc_zeta_v4_mouse",656.381965829369,656.565271885015
"L-BFGS-B1797",0.587982627094565,2.10463437792385,1.1694633583088,0.627492643788647,0.0415055370292199,1.35280424159189,0.999141033442471,344.798499164674,141,141,NA,0,FALSE,FALSE,62.3399999999965,176,15,648,7,"fit_glaze_osc_zeta_v4_mouse",703.596998329348,703.771998329348
"L-BFGS-B1798",0.526362981738099,1.73643794742325,1.17049279843784,0.472844207688605,0.025,3.72672549832891,0.999,264.033808844898,105,105,NA,1,FALSE,TRUE,32.4700000000012,176,17,461,7,"fit_glaze_osc_zeta_v4_mouse",542.067617689796,542.314858307897
"L-BFGS-B1799",0.390751674730356,2.56589752230986,1.59189261867681,0.336921150438922,0.0844195933671635,4.14355051104962,1.00093812387211,308.441650551239,104,104,NA,0,FALSE,FALSE,49.109999999986,176,18,696,7,"fit_glaze_osc_zeta_v4_mouse",630.883301102478,631.046091800152
"L-BFGS-B1800",0.556582474289147,3.24632236149142,1.02017889106588,0.730580264714844,0.0291832073939133,3.17790374732275,0.999,304.502363717369,59,59,NA,0,FALSE,FALSE,24.1900000000023,176,19,617,7,"fit_glaze_osc_zeta_v4_mouse",623.004727434738,623.188635480715
"L-BFGS-B1801",0.667445104042559,1.51157757949761,7.0730686974824,0.318379125183595,0.0903326891406087,2.24127517858554,1.00092378042799,319.898456845038,63,63,NA,0,FALSE,FALSE,23.2000000000116,176,23,541,7,"fit_glaze_osc_zeta_v4_mouse",653.796913690077,654.007045022159
"L-BFGS-B1802",0.390062606270874,3.41315462775615,1.00521083186305,0.967874538291361,0.0614833966352088,3.14017527616894,0.999,261.655202759204,48,48,NA,0,FALSE,FALSE,16.640000000014,176,24,524,7,"fit_glaze_osc_zeta_v4_mouse",537.310405518407,537.527459781973
"L-BFGS-B1803",0.612295852747652,2.41322099298605,4.94478800208996,0,0.0273250934931622,2.77006714899526,0.999001575946615,229.102982799655,118,118,NA,1,FALSE,FALSE,37.2900000000081,176,25,468,7,"fit_glaze_osc_zeta_v4_mouse",472.205965599311,472.44944386018
"L-BFGS-B1804",0.430076787632115,2.76048311948637,0,0.470860097270843,0.0451611014174482,4.25897082053059,1.00086817856722,321.086908647135,118,118,NA,0,FALSE,FALSE,49.9200000000128,176,26,626,7,"fit_glaze_osc_zeta_v4_mouse",656.173817294269,656.355047067732
"L-BFGS-B1805",0.379054381879427,4.66571614121852,0.787392853496062,0.780775908350579,0.0522328021312184,5.36680831592438,1.00099303507049,262.571724937734,129,129,NA,0,FALSE,FALSE,54.5500000000175,176,27,623,7,"fit_glaze_osc_zeta_v4_mouse",539.143449875469,539.325563696607
"L-BFGS-B1806",0.47520015249284,3.42702550916839,0.991777543328878,0.716160522483014,0.0783278770698041,3.78325369364249,0.999014704918383,257.467137790628,156,156,NA,0,FALSE,FALSE,56.8099999999977,176,29,541,7,"fit_glaze_osc_zeta_v4_mouse",528.934275581256,529.144406913339
"L-BFGS-B1807",0.635923423528181,2.03858806045984,1.29314930984599,0.431295367254154,0.025,2.00701960377485,0.999,333.43284892573,107,107,NA,1,FALSE,TRUE,41.390000000014,176,30,576,7,"fit_glaze_osc_zeta_v4_mouse",680.865697851459,681.062880950051
"L-BFGS-B1808",0.661325996424784,3.49913106717083,2.72570722742582,0.742985847024717,0.119174374026112,6.28002432322837,1.001,296.120159000342,132,132,NA,0,FALSE,FALSE,57.4899999999907,176,31,649,7,"fit_glaze_osc_zeta_v4_mouse",606.240318000684,606.415044989764
"L-BFGS-B1809",0.4461414462554,3.15055616945471,0.979936478726862,0.237357549543035,0.0287856183500668,2.97542051288972,1.001,371.910582249814,102,102,NA,0,FALSE,FALSE,56.6900000000023,176,32,804,7,"fit_glaze_osc_zeta_v4_mouse",757.821164499628,757.961868017216
"L-BFGS-B1810",0.447376410476062,3.82020568083236,0.843422783120685,0.277874817241852,0.100052882857909,0.955349162687377,0.99904502780909,330.595883166618,132,132,NA,0,FALSE,FALSE,73.9200000000128,176,33,819,7,"fit_glaze_osc_zeta_v4_mouse",675.191766333235,675.329867442976
"L-BFGS-B1811",0.499920207624476,5.47276031150958,1.01586322897288,0.781664692316839,0.0489024011322515,3.53204431502658,1.001,247.965152448466,110,110,NA,52,FALSE,FALSE,54.6600000000035,176,34,731,7,"fit_glaze_osc_zeta_v4_mouse",509.930304896931,510.08521499375
"L-BFGS-B1812",0.421232890053328,4.80149635294279,0,0.405631687260067,0.0411816845681156,4.6278493959914,0.999,233.947171217403,119,119,NA,1,FALSE,TRUE,50.5800000000163,176,35,631,7,"fit_glaze_osc_zeta_v4_mouse",481.894342434807,482.074117715705
"L-BFGS-B1813",0.419131451806696,4.29269654417009,1.33368823254967,0.6676007307205,0.2,4.9643407578731,1.001,358.132565813602,105,105,NA,1,FALSE,TRUE,48.5299999999988,176,36,685,7,"fit_glaze_osc_zeta_v4_mouse",730.265131627205,730.430567373143
"L-BFGS-B1814",0.521371319951496,6.85687708436004,0.988294680341306,1.18081155131019,0.178857484940656,3.05439459247493,0.999,345.674949029656,64,64,NA,0,FALSE,FALSE,27.2200000000012,176,37,635,7,"fit_glaze_osc_zeta_v4_mouse",705.349898059313,705.528526448468
"L-BFGS-B1815",0.474434062639696,10.7111143555372,1.03314223575634,1.36599530477419,0.025,2.11755372430927,1.001,347.688044582142,105,105,NA,1,FALSE,FALSE,52.7799999999988,176,39,739,7,"fit_glaze_osc_zeta_v4_mouse",709.376089164284,709.529303938566
"L-BFGS-B1816",0.578835801287458,5.41724611647556,1.3012946911617,0.61622635374999,0.025,2.64361251132353,1.001,390.848684879376,107,107,NA,1,FALSE,TRUE,53.3500000000058,176,40,736,7,"fit_glaze_osc_zeta_v4_mouse",795.697369758752,795.851215912598
