"Trial","Variable","Mean","Sd","Error","p"
56,"diff_acf_History",7.25279673787246e-04,0.0449179870206769,0.0013590975718711,"> 0.05"
57,"diff_acf_History",5.40609145874631e-04,0.0452378640174087,0.001368776190135,"> 0.05"
58,"diff_acf_History",-2.3968409719856e-04,0.0449733593443098,0.00136077298957323,"> 0.05"
59,"diff_acf_History",5.29930914454569e-04,0.0446343100982185,0.00135051427056841,"> 0.05"
60,"diff_acf_History",2.8873120899534e-04,0.044856738365893,0.00135724435218076,"> 0.05"
61,"diff_acf_History",-0.00144660997818769,0.0445577190148507,0.00134819683022131,"> 0.05"
62,"diff_acf_History",5.07447785372509e-04,0.0440356361772172,0.0013324000066322,"> 0.05"
63,"diff_acf_History",0.00123137433419932,0.0447774915420042,0.0013548465562627,"> 0.05"
64,"diff_acf_History",3.57649685876741e-04,0.0448755797452974,0.00135781444168605,"> 0.05"
65,"diff_acf_History",0.00121646108276927,0.044416261823936,0.00134391671578503,"> 0.05"
66,"diff_acf_History",-1.06063053658797e-05,0.0445097534943578,0.0013467455224767,"> 0.05"
67,"diff_acf_History",5.25329215154126e-04,0.0446096471310909,0.0013499289040701,"> 0.05"
68,"diff_acf_History",5.42190470733358e-05,0.0440087894140093,0.00133174639755669,"> 0.05"
69,"diff_acf_History",0.00236840492634693,0.0446889356901036,0.00135232824870645,"< 0.05"
70,"diff_acf_History",-5.32109666733132e-04,0.0442349127601589,0.00133858909774563,"> 0.05"
71,"diff_acf_History",3.42067735959392e-04,0.044360797375442,0.00134239848185147,"> 0.05"
72,"diff_acf_History",-6.09691479148855e-04,0.0449791743866945,0.00136111113830107,"> 0.05"
73,"diff_acf_History",-5.93137166946336e-04,0.0443503549098964,0.0013420824832508,"> 0.05"
74,"diff_acf_History",3.20169549815882e-04,0.0435764628535964,0.00131866379866987,"> 0.05"
75,"diff_acf_History",5.56720015325843e-05,0.0437750217812079,0.00132467237423103,"> 0.05"
76,"diff_acf_History",-8.28406748476036e-04,0.0435989056643764,0.00131934293874178,"> 0.05"
77,"diff_acf_History",5.31480515323006e-04,0.0432855505316821,0.00130986052455411,"> 0.05"
78,"diff_acf_History",-6.85791992887401e-04,0.0428175635919515,0.00129569880982875,"> 0.05"
79,"diff_acf_History",1.97193124701601e-04,0.0429322117181913,0.00129916816745343,"> 0.05"
80,"diff_acf_History",-7.28633182803823e-04,0.0430940463003213,0.00130406543058249,"> 0.05"
81,"diff_acf_History",-3.07515849652243e-05,0.042979098650042,0.00130074205313524,"> 0.05"
82,"diff_acf_History",3.37677272153564e-04,0.0433074597668452,0.00131083603120236,"> 0.05"
83,"diff_acf_History",1.23388237816884e-04,0.0431033211064024,0.00130465713470484,"> 0.05"
84,"diff_acf_History",-0.00119355722213748,0.0432028385171771,0.00130766934111172,"> 0.05"
85,"diff_acf_History",0.00530707450039838,0.0437706561364789,0.00132485612136943,"> 0.05"
86,"diff_acf_History",-4.74574421797688e-04,0.0429347568543411,0.00129955500919657,"> 0.05"
87,"diff_acf_History",-1.19940867166172e-04,0.0432057125034673,0.00130775633131624,"> 0.05"
88,"diff_acf_History",5.62465688609911e-04,0.0423073068443042,0.00128056326769608,"> 0.05"
89,"diff_acf_History",-2.54729543315144e-04,0.0435222703709869,0.00131749506339348,"> 0.05"
90,"diff_acf_History",-0.00162424774854081,0.0425245826409687,0.00128729331500345,"> 0.05"
91,"diff_acf_History",-0.00154712599887053,0.0419253859130117,0.00126915458454763,"> 0.05"
92,"diff_acf_History",-7.52058395437742e-04,0.0418236595569609,0.00126607515025407,"> 0.05"
93,"diff_acf_History",4.15592516343096e-04,0.0427047581452689,0.00129274754189549,"> 0.05"
94,"diff_acf_History",-4.46334842961559e-04,0.0418572209674904,0.00126709111270999,"> 0.05"
95,"diff_acf_History",-8.60150080135244e-04,0.0422398137216952,0.00127867286294172,"> 0.05"
96,"diff_acf_History",0.00151343645607313,0.0422521442089517,0.00127904612830567,"> 0.05"
97,"diff_acf_History",-1.12781004648854e-04,0.0423114232807725,0.00128099340859944,"> 0.05"
98,"diff_acf_History",1.10551097555816e-04,0.042105920202279,0.0012749238413664,"> 0.05"
99,"diff_acf_History",-1.90925551605462e-04,0.0427861855849291,0.00129552157561922,"> 0.05"
