"Trial","Variable","type","Mean","Sd","Error","p"
37,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.36631398197127e-04,0.0427924377734838,0.00127650962714788,"> 0.05"
38,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",2.16620692955362e-04,0.0420065371934687,0.00125306600699984,"> 0.05"
39,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",3.12646386206857e-04,0.0420026441587999,0.00125294987675599,"> 0.05"
40,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00103241521307302,0.0423053353007658,0.00126197923280289,"> 0.05"
41,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",1.74264479315087e-04,0.0419479419349588,0.00125131809509098,"> 0.05"
42,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",1.05944571670555e-04,0.043015890891823,0.00128317529219566,"> 0.05"
43,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",6.83384241117811e-05,0.0426373912430161,0.00127188454853363,"> 0.05"
44,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-3.60809954365873e-04,0.0421934602859898,0.00125864197180938,"> 0.05"
45,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.56481339290008e-05,0.0418760963539982,0.00124917492259285,"> 0.05"
46,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",8.54164771621047e-04,0.0421719849045825,0.00125800135555708,"> 0.05"
47,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",5.02229032644229e-04,0.0421391530016916,0.00125702197129438,"> 0.05"
48,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00161601562705325,0.041894020555414,0.00124970960621586,"< 0.05"
49,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00100927410122163,0.0415383146318286,0.0012390988053474,"> 0.05"
50,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",1.64266286142702e-04,0.0420934578482737,0.00125565887289927,"> 0.05"
51,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-4.51580887835811e-04,0.0411635374257432,0.00122791910312674,"> 0.05"
52,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-6.33972922162082e-04,0.042251365430225,0.00126036929742866,"> 0.05"
53,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00107612198533351,0.0416489448848047,0.00124239893477039,"> 0.05"
54,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",2.80430545850604e-04,0.0427197817820671,0.00127434227989358,"> 0.05"
55,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",7.96170024563029e-04,0.0419401400853438,0.00125108536387348,"> 0.05"
56,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",3.00091133368692e-04,0.0419715075883528,0.00125202106470413,"> 0.05"
57,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",8.39507592359343e-04,0.0412593495814661,0.00123077720482746,"> 0.05"
58,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00127828336856696,0.0423014695919445,0.00126186391769623,"< 0.05"
59,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",4.36057453133166e-04,0.0406437288201797,0.00121241307627246,"> 0.05"
60,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00135484971037531,0.0415035549914825,0.0012380619161715,"< 0.05"
61,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-8.67103508116341e-04,0.042110141074591,0.00125615653791005,"> 0.05"
62,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00100333566942547,0.0415872197698327,0.00124055765842349,"> 0.05"
63,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",2.14721316833075e-05,0.0418469850175991,0.00124830652380311,"> 0.05"
64,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00174451676744645,0.0415070110150385,0.00123816501025939,"< 0.05"
65,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00146219637313562,0.041327972501676,0.00123282424451131,"< 0.05"
66,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",7.85224121178234e-04,0.0419118578357895,0.00125024169696147,"> 0.05"
67,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-8.98395334632043e-05,0.0413875628139653,0.00123460183913503,"> 0.05"
68,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",1.64343317351123e-04,0.0411769780149427,0.00122832003942298,"> 0.05"
69,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-3.43618301884079e-04,0.04185054929427,0.00124841284710977,"> 0.05"
70,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-8.67044620239631e-04,0.041873026875595,0.00124908335924811,"> 0.05"
71,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",6.31075760272941e-04,0.0413022642360958,0.00123205736021544,"> 0.05"
72,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-1.42271966076049e-04,0.0413145591205958,0.0012324241198404,"> 0.05"
73,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00111125586609593,0.0418316695968064,0.00124784966078938,"> 0.05"
74,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.66355644890593e-04,0.0418152882274537,0.00124736100025092,"> 0.05"
75,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",3.62889300788329e-04,0.0406859106687033,0.00121367137186235,"> 0.05"
76,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",5.88756779242742e-04,0.0407448648463431,0.00121542999042286,"> 0.05"
77,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00109245315646859,0.0414247802660872,0.00123571204547997,"> 0.05"
78,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-4.02722409179213e-04,0.0407294793707047,0.00121497103765474,"> 0.05"
79,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-3.00759062209934e-04,0.0407316177028499,0.00121503482466271,"> 0.05"
80,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-4.06122246436021e-04,0.0414016181001621,0.00123502111200369,"> 0.05"
81,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",5.7290891483215e-05,0.0405586419445643,0.00120987491248655,"> 0.05"
82,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-8.30551357863027e-04,0.0405479672607972,0.00120955648387383,"> 0.05"
83,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-6.59766643699045e-04,0.0407045691312853,0.00121422795868827,"> 0.05"
84,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-5.02148497400096e-04,0.0406815592834111,0.00121354156889935,"> 0.05"
85,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-4.39434106098615e-04,0.0403414091050964,0.00120339479998674,"> 0.05"
86,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-1.56458223457494e-04,0.0412035011824649,0.00122911123245722,"> 0.05"
87,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",6.77984682721763e-04,0.0405642597380619,0.00121004249273802,"> 0.05"
88,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-8.17464822194316e-04,0.040040144318881,0.00119440799250547,"> 0.05"
89,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-7.83305739601625e-04,0.0397100400035296,0.00118456089431631,"> 0.05"
90,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.99880389893218e-04,0.0409651552177206,0.00122200130990038,"> 0.05"
91,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",4.79620138366049e-04,0.0405434353703161,0.00120942129639377,"> 0.05"
92,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-4.53255458710348e-04,0.0406614217337375,0.00121294086051808,"> 0.05"
93,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-6.29681462220724e-04,0.0404513869920564,0.0012066754691606,"> 0.05"
94,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00103631406235807,0.0397953264225201,0.00118710501053335,"> 0.05"
95,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00113228754177654,0.0406064282946303,0.00121130039182542,"> 0.05"
96,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",3.25690346992077e-04,0.0401509005608007,0.00119771188021165,"> 0.05"
97,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",6.48200859339855e-04,0.0398481847245991,0.00118868178752922,"> 0.05"
98,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00133213773564999,0.0402960912379702,0.00120204295614053,"< 0.05"
99,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",7.22112796000804e-05,0.0403209647168566,0.00120278493853067,"> 0.05"
